datetime_utc,temp_c,salinity_psu,wind_speed_ms,tidal_index,do_mg_l,do_anomaly_mg_l,hypoxic_flag
2018-01-06 18:00:00,26.81,34.75,5.35,0.4652,7.81,1.6134,0
2018-01-06 19:00:00,26.96,34.91,5.81,0.6445,7.77,1.5698,0
2018-01-06 20:00:00,26.99,34.79,5.53,0.6084,7.76,1.5633,0
2018-01-06 21:00:00,26.9,34.67,3.57,0.3485,7.12,0.9156,0
2018-01-06 22:00:00,26.7,35.21,4.72,-0.0828,6.96,0.7581,0
2018-01-06 23:00:00,26.46,35.17,0.23,-0.5851,6.6,0.3962,0
2018-01-07 00:00:00,26.22,35.05,5.93,-1.034,7.18,0.9803,0
2018-01-07 01:00:00,26.06,34.64,6.46,-1.3129,7.12,0.9199,0
2018-01-07 02:00:00,26,34.21,2.41,-1.3418,6.78,0.5773,0
2018-01-07 03:00:00,26.07,35.35,7.47,-1.0985,6.97,0.7724,0
2018-01-07 04:00:00,26.26,34.93,4.01,-0.6249,6.49,0.2938,0
2018-01-07 05:00:00,26.52,34.31,4.21,-0.0177,6.75,0.5495,0
2018-01-07 06:00:00,26.75,34.16,5.71,0.5944,6.78,0.5801,0
2018-01-07 07:00:00,26.94,34.7,2.3,1.0815,6.03,-0.1709,0
2018-01-07 08:00:00,27,34.63,2.85,1.3433,6.21,0.0139,0
2018-01-07 09:00:00,26.96,34.54,3.42,1.3332,5.7,-0.5027,0
2018-01-07 10:00:00,26.81,34.78,2.56,1.0686,5.63,-0.5668,0
2018-01-07 11:00:00,26.58,34.85,0.71,0.6256,5.28,-0.916,0
2018-01-07 12:00:00,26.33,34.8,3.47,0.1191,5.82,-0.3819,0
2018-01-07 13:00:00,26.13,34.76,2.52,-0.3258,5.81,-0.3874,0
2018-01-07 14:00:00,26.02,34.91,5.69,-0.6053,5.69,-0.5087,0
2018-01-07 15:00:00,26.04,34.66,5.57,-0.6624,5.93,-0.2708,0
2018-01-07 16:00:00,26.17,35.06,3.12,-0.5004,5.78,-0.4237,0
2018-01-07 17:00:00,26.39,35.3,4.17,-0.1807,5.62,-0.5803,0
2018-01-07 18:00:00,26.66,35.01,5.06,0.1935,5.54,-0.6574,0
2018-01-07 19:00:00,26.88,34.72,2.46,0.5051,5.52,-0.6756,0
2018-01-07 20:00:00,27,34.46,8.63,0.6532,6.2,0.0028,0
2018-01-07 21:00:00,27.03,34.83,7.02,0.5804,5.47,-0.7303,0
2018-01-07 22:00:00,26.92,35.04,4.27,0.2884,5.4,-0.797,0
2018-01-07 23:00:00,26.72,34.86,5.71,-0.1617,5.65,-0.5526,0
2018-01-08 00:00:00,26.47,34.97,1.57,-0.6636,5.2,-1.0013,0
2018-01-08 01:00:00,26.25,34.78,5.14,-1.0923,5.39,-0.8112,0
2018-01-08 02:00:00,26.09,34.77,4.43,-1.3349,5.54,-0.6574,0
2018-01-08 03:00:00,26.07,34.69,3.42,-1.3198,5.66,-0.5361,0
2018-01-08 04:00:00,26.16,34.86,5.67,-1.0351,6.18,-0.0177,0
2018-01-08 05:00:00,26.34,34.63,0.25,-0.5324,6.15,-0.0509,0
2018-01-08 06:00:00,26.58,34.71,6.89,0.0847,6.41,0.2108,0
2018-01-08 07:00:00,26.82,34.86,4.93,0.6851,6.01,-0.1925,0
2018-01-08 08:00:00,26.99,34.46,2.6,1.1415,5.9,-0.3026,0
2018-01-08 09:00:00,27.05,34.55,6.11,1.3612,6.83,0.6294,0
2018-01-08 10:00:00,26.99,34.58,4.93,1.3073,6.52,0.3224,0
2018-01-08 11:00:00,26.83,34.63,6.11,1.0074,6.95,0.7487,0
2018-01-08 12:00:00,26.59,34.47,1.08,0.5455,6.51,0.3124,0
2018-01-08 13:00:00,26.34,34.94,4.61,0.0404,6.56,0.3591,0
2018-01-08 14:00:00,26.16,34.67,3.76,-0.3844,6.76,0.5632,0
2018-01-08 15:00:00,26.08,35.11,4.48,-0.6309,6.53,0.3325,0
2018-01-08 16:00:00,26.12,34.55,0.52,-0.6513,6.08,-0.125,0
2018-01-08 17:00:00,26.27,34.67,4.81,-0.4587,6.55,0.3484,0
2018-01-08 18:00:00,26.5,34.87,6.03,-0.1227,6.92,0.7239,0
2018-01-08 19:00:00,26.76,34.59,7.25,0.2493,7.18,0.9759,0
2018-01-08 20:00:00,26.97,35.14,5.47,0.5407,6.48,0.2807,0
2018-01-08 21:00:00,27.09,35.23,0.67,0.6561,6.35,0.1522,0
2018-01-08 22:00:00,27.08,34.88,2.27,0.5468,6.64,0.438,0
2018-01-08 23:00:00,26.95,34.87,0.41,0.2242,6.09,-0.1127,0
2018-01-09 00:00:00,26.73,34.72,8.08,-0.2419,6.07,-0.1256,0
2018-01-09 01:00:00,26.49,34.79,4.51,-0.7402,6.04,-0.1556,0
2018-01-09 02:00:00,26.27,34.7,2.86,-1.1456,5.92,-0.279,0
2018-01-09 03:00:00,26.13,34.67,5.12,-1.3501,6.14,-0.0599,0
2018-01-09 04:00:00,26.12,34.4,2.88,-1.2908,6.64,0.4366,0
2018-01-09 05:00:00,26.23,34.79,1.36,-0.966,6.71,0.5104,0
2018-01-09 06:00:00,26.44,34.88,6.75,-0.4369,7.18,0.9754,0
2018-01-09 07:00:00,26.67,34.7,3.93,0.1867,6.72,0.5216,0
2018-01-09 08:00:00,26.89,35.16,3.19,0.7719,5.88,-0.3226,0
2018-01-09 09:00:00,27.05,34.83,6.61,1.1953,6.48,0.2846,0
2018-01-09 10:00:00,27.1,34.73,2.42,1.3718,6.27,0.0668,0
2018-01-09 11:00:00,27.01,34.57,7.25,1.2748,6.57,0.3736,0
2018-01-09 12:00:00,26.82,34.77,4.58,0.9419,6.26,0.0649,0
2018-01-09 13:00:00,26.58,34.78,6.75,0.4642,6.09,-0.1092,0
2018-01-09 14:00:00,26.34,34.98,0.01,-0.0364,5.81,-0.3917,0
2018-01-09 15:00:00,26.17,34.63,5.31,-0.4384,6,-0.2038,0
2018-01-09 16:00:00,26.09,34.84,6.28,-0.6507,5.99,-0.2054,0
2018-01-09 17:00:00,26.15,34.6,5.55,-0.6347,6.55,0.3477,0
2018-01-09 18:00:00,26.32,34.86,0.37,-0.4134,5.92,-0.2826,0
2018-01-09 19:00:00,26.56,34.51,5.25,-0.0638,5.77,-0.4349,0
2018-01-09 20:00:00,26.81,34.58,1.64,0.303,5.6,-0.5976,0
2018-01-09 21:00:00,27,34.8,6.23,0.5719,6.13,-0.0668,0
2018-01-09 22:00:00,27.1,35.08,0.11,0.6533,5.97,-0.2294,0
2018-01-09 23:00:00,27.07,34.69,5.28,0.5077,6.25,0.0521,0
2018-01-10 00:00:00,26.93,34.58,6.74,0.1564,6.36,0.1612,0
2018-01-10 01:00:00,26.71,34.76,4.11,-0.3228,6.01,-0.1909,0
2018-01-10 02:00:00,26.46,34.88,4.11,-0.8143,5.69,-0.513,0
2018-01-10 03:00:00,26.26,34.74,1.74,-1.1936,5.63,-0.5676,0
2018-01-10 04:00:00,26.16,34.39,4.74,-1.3584,6.11,-0.0857,0
2018-01-10 05:00:00,26.17,34.99,4.11,-1.2548,5.92,-0.2833,0
2018-01-10 06:00:00,26.31,34.59,4.85,-0.8915,5.6,-0.5979,0
2018-01-10 07:00:00,26.53,34.63,4.33,-0.3389,5.53,-0.6677,0
2018-01-10 08:00:00,26.77,34.79,3.37,0.2876,5.1,-1.0966,0
2018-01-10 09:00:00,27.01,34.69,4.09,0.8545,5.7,-0.4973,0
2018-01-10 10:00:00,27.14,34.31,7.82,1.2426,6.39,0.1882,0
2018-01-10 11:00:00,27.17,34.38,1.03,1.3752,6.13,-0.069,0
2018-01-10 12:00:00,27.07,34.76,4.21,1.2361,6.6,0.4028,0
2018-01-10 13:00:00,26.86,34.71,3.4,0.8724,6.26,0.0573,0
2018-01-10 14:00:00,26.61,34.17,6.25,0.3822,6.35,0.1474,0
2018-01-10 15:00:00,26.39,34.44,5.64,-0.1106,6.48,0.2757,0
2018-01-10 16:00:00,26.23,34.73,4.26,-0.4875,7.07,0.8689,0
2018-01-10 17:00:00,26.19,34.61,2.22,-0.6646,6.87,0.6726,0
2018-01-10 18:00:00,26.29,34.81,4.51,-0.6128,6.72,0.521,0
2018-01-10 19:00:00,26.48,34.84,0.74,-0.3647,6.21,0.0112,0
2018-01-10 20:00:00,26.72,34.67,5.25,-0.0044,6.52,0.3203,0
2018-01-10 21:00:00,26.96,34.52,7.98,0.3542,6.66,0.4561,0
2018-01-10 22:00:00,27.14,34.69,4.76,0.5981,6.61,0.4067,0
2018-01-10 23:00:00,27.21,34.72,5.32,0.6445,6.2,-0.0047,0
2018-01-11 00:00:00,27.16,34.64,4.95,0.4632,6.4,0.1999,0
2018-01-11 01:00:00,27,34.93,2.77,0.0853,5.6,-0.6026,0
2018-01-11 02:00:00,26.78,34.9,5.15,-0.4039,5.64,-0.5627,0
2018-01-11 03:00:00,26.55,34.73,4.14,-0.8853,5.52,-0.6782,0
2018-01-11 04:00:00,26.36,34.62,0.28,-1.2358,5.21,-0.9892,0
2018-01-11 05:00:00,26.26,34.35,7.28,-1.3596,6.25,0.0459,0
2018-01-11 06:00:00,26.28,34.57,0.24,-1.2119,5.82,-0.3838,0
2018-01-11 07:00:00,26.44,34.62,4.91,-0.812,6.17,-0.0302,0
2018-01-11 08:00:00,26.66,35.24,1.8,-0.2389,6.12,-0.0794,0
2018-01-11 09:00:00,26.92,34.83,3.97,0.387,6.29,0.0902,0
2018-01-11 10:00:00,27.14,34.42,2.92,0.9324,6.02,-0.1814,0
2018-01-11 11:00:00,27.26,34.82,7.95,1.2832,6.77,0.5661,0
2018-01-11 12:00:00,27.28,34.57,0.72,1.3715,6.43,0.23,0
2018-01-11 13:00:00,27.16,34.02,4.31,1.1914,6.41,0.2091,0
2018-01-11 14:00:00,26.94,34.74,4.8,0.7996,6.06,-0.1449,0
2018-01-11 15:00:00,26.69,34.92,4.73,0.3001,5.71,-0.4939,0
2018-01-11 16:00:00,26.46,34.82,2.28,-0.1819,5.43,-0.7699,0
2018-01-11 17:00:00,26.31,35.09,7.88,-0.5315,5.55,-0.6505,0
2018-01-11 18:00:00,26.27,34.53,4.57,-0.6725,5.57,-0.6277,0
2018-01-11 19:00:00,26.37,34.67,6.18,-0.5858,5.55,-0.646,0
2018-01-11 20:00:00,26.56,34.88,4.36,-0.3131,5.88,-0.3209,0
2018-01-11 21:00:00,26.8,34.56,4.4,0.0549,6.22,0.0192,0
2018-01-11 22:00:00,27.05,34.67,4.11,0.4024,6.3,0.0991,0
2018-01-11 23:00:00,27.21,34.64,4.27,0.6192,6.32,0.1213,0
2018-01-12 00:00:00,27.25,34.91,5.73,0.6299,6.49,0.2884,0
2018-01-12 01:00:00,27.18,34.14,2.52,0.4137,6.79,0.5927,0
2018-01-12 02:00:00,27,34.73,2.71,0.0114,6.59,0.3856,0
2018-01-12 03:00:00,26.76,34.87,1.65,-0.4847,6.8,0.6013,0
2018-01-12 04:00:00,26.52,34.6,4.48,-0.9528,7.02,0.8196,0
2018-01-12 05:00:00,26.34,34.54,6.58,-1.2721,6.8,0.6006,0
2018-01-12 06:00:00,26.27,34.03,0.6,-1.3536,6.29,0.0903,0
2018-01-12 07:00:00,26.32,34.52,1.4,-1.1624,5.83,-0.3671,0
2018-01-12 08:00:00,26.48,35.04,4.22,-0.728,6.61,0.4087,0
2018-01-12 09:00:00,26.71,34.09,7.22,-0.1376,6.71,0.5148,0
2018-01-12 10:00:00,26.97,34.98,7.3,0.4843,6.77,0.5718,0
2018-01-12 11:00:00,27.18,34.77,3.78,1.0052,6.47,0.2718,0
2018-01-12 12:00:00,27.28,34.77,8.98,1.3168,6.53,0.3284,0
2018-01-12 13:00:00,27.27,34.35,5.25,1.3607,6.07,-0.1274,0
2018-01-12 14:00:00,27.14,34.98,2.09,1.1411,6.04,-0.1554,0
2018-01-12 15:00:00,26.92,34.68,3.58,0.7239,6.55,0.3472,0
2018-01-12 16:00:00,26.67,34.65,5.67,0.2183,6.86,0.6563,0
2018-01-12 17:00:00,26.47,35.12,5.52,-0.2498,6.78,0.5784,0
2018-01-12 18:00:00,26.35,34.51,3.77,-0.5701,6.23,0.0306,0
2018-01-12 19:00:00,26.35,34.44,4.08,-0.6746,6.25,0.0509,0
2018-01-12 20:00:00,26.45,34.44,1.54,-0.554,5.43,-0.7663,0
2018-01-12 21:00:00,26.66,34.63,0.53,-0.259,5.77,-0.4349,0
2018-01-12 22:00:00,26.91,34.76,1.7,0.1137,5.78,-0.4175,0
2018-01-12 23:00:00,27.14,35.02,2.02,0.4472,5.61,-0.5854,0
2018-01-13 00:00:00,27.29,35.06,5.25,0.635,5.78,-0.4244,0
2018-01-13 01:00:00,27.33,34.63,3.85,0.6094,6.08,-0.1174,0
2018-01-13 02:00:00,27.24,34.85,2.18,0.3595,5.65,-0.5514,0
2018-01-13 03:00:00,27.07,34.61,5.06,-0.0649,5.95,-0.2525,0
2018-01-13 04:00:00,26.81,34.65,1.7,-0.5647,5.29,-0.9112,0
2018-01-13 05:00:00,26.58,34.54,1.98,-1.0163,4.75,-1.4501,0
2018-01-13 06:00:00,26.4,34.28,6.47,-1.3021,5.05,-1.1511,0
2018-01-13 07:00:00,26.35,34.57,7.97,-1.3404,5.55,-0.6469,0
2018-01-13 08:00:00,26.4,34.35,5.41,-1.1065,5.35,-0.8513,0
2018-01-13 09:00:00,26.59,34.83,3.22,-0.6399,5.19,-1.0069,0
2018-01-13 10:00:00,26.83,34.55,2.2,-0.0354,5.38,-0.8239,0
2018-01-13 11:00:00,27.08,34.5,2.84,0.5789,5.88,-0.3237,0
2018-01-13 12:00:00,27.27,34.8,5.73,1.0724,6.68,0.4797,0
2018-01-13 13:00:00,27.35,34.7,1.6,1.3434,6.53,0.3296,0
2018-01-13 14:00:00,27.31,34.77,1.98,1.3429,6.25,0.0513,0
2018-01-13 15:00:00,27.17,34.51,8.03,1.0856,5.94,-0.2601,0
2018-01-13 16:00:00,26.94,35.06,4.28,0.6457,5.77,-0.4321,0
2018-01-13 17:00:00,26.69,34.53,4.26,0.1374,5.65,-0.5455,0
2018-01-13 18:00:00,26.48,34.65,5.26,-0.3139,5.35,-0.8497,0
2018-01-13 19:00:00,26.37,34.44,3.47,-0.6031,5.02,-1.1783,0
2018-01-13 20:00:00,26.38,35.24,4.39,-0.6708,6.08,-0.1249,0
2018-01-13 21:00:00,26.51,34.62,6.5,-0.5176,6.79,0.5935,0
2018-01-13 22:00:00,26.73,34.82,0.81,-0.2029,5.87,-0.3264,0
2018-01-13 23:00:00,26.99,34.78,0.52,0.1715,6.15,-0.0481,0
2018-01-14 00:00:00,27.23,34.51,5.09,0.4882,6.89,0.6935,0
2018-01-14 01:00:00,27.37,34.6,0.83,0.6453,6.65,0.4513,0
2018-01-14 02:00:00,27.37,34.44,4.52,0.5831,6.27,0.0735,0
2018-01-14 03:00:00,27.27,34.7,5.84,0.3007,6.32,0.1173,0
2018-01-14 04:00:00,27.07,34.42,2.61,-0.1431,6.59,0.3885,0
2018-01-14 05:00:00,26.84,34.69,3.76,-0.6434,6.57,0.3666,0
2018-01-14 06:00:00,26.61,35.09,3.82,-1.0754,6.21,0.0077,0
2018-01-14 07:00:00,26.47,34.76,6.87,-1.3255,6.07,-0.132,0
2018-01-14 08:00:00,26.42,34.43,4.13,-1.32,6.43,0.2305,0
2018-01-14 09:00:00,26.52,34.92,4.16,-1.0444,6.53,0.3284,0
2018-01-14 10:00:00,26.71,35.03,3.18,-0.5481,6.46,0.2569,0
2018-01-14 11:00:00,26.96,34.45,4.33,0.067,6.76,0.565,0
2018-01-14 12:00:00,27.2,34.64,4.49,0.6703,6.74,0.5365,0
2018-01-14 13:00:00,27.39,34.44,6.94,1.1338,6.54,0.3436,0
2018-01-14 14:00:00,27.45,34.52,4.67,1.3629,6.64,0.4366,0
2018-01-14 15:00:00,27.39,34.5,1.79,1.3183,6.34,0.143,0
2018-01-14 16:00:00,27.22,34.86,8.79,1.0252,7.36,1.1618,0
2018-01-14 17:00:00,26.98,34.47,8.62,0.5657,7.3,1.1002,0
2018-01-14 18:00:00,26.76,34.68,7.06,0.0579,6.69,0.4865,0
2018-01-14 19:00:00,26.56,34.27,1.84,-0.3739,6.02,-0.181,0
2018-01-14 20:00:00,26.47,34.53,3.48,-0.6304,6.41,0.2068,0
